[COMPLETE] ● https://lmo.wikipedia.org                                                                            | ✓ | ⏱: 1.18s
[FETCH]... ↓ https://lld.wikipedia.org                                                                            | ✓ | ⏱: 1.20s 
[SCRAPE].. ◆ https://lld.wikipedia.org                                                                            | ✓ | ⏱: 0.00s
[COMPLETE] ● https://lld.wikipedia.org                                                                            | ✓ | ⏱: 1.20s
[FETCH]... ↓ https://lt.wikipedia.org                                                                             | ✓ | ⏱: 1.30s 
[SCRAPE].. ◆ https://lt.wikipedia.org                                                                             | ✓ | ⏱: 0.06s 
[COMPLETE] ● https://lt.wikipedia.org                                                                             | ✓ | ⏱: 1.36s 
[FETCH]... ↓ https://ltg.wikipedia.org                                                                            | ✓ | ⏱: 1.60s 
[SCRAPE].. ◆ https://ltg.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://ltg.wikipedia.org                                                                            | ✓ | ⏱: 1.61s
[FETCH]... ↓ https://ml.wikipedia.org                                                                             | ✓ | ⏱: 0.60s 
[SCRAPE].. ◆ https://ml.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://ml.wikipedia.org                                                                             | ✓ | ⏱: 0.60s
[FETCH]... ↓ https://mad.wikipedia.org                                                                            | ✓ | ⏱: 1.58s 
[SCRAPE].. ◆ https://mad.wikipedia.org                                                                            | ✓ | ⏱: 0.01s 
[COMPLETE] ● https://mad.wikipedia.org                                                                            | ✓ | ⏱: 1.59s
[FETCH]... ↓ https://mg.wikipedia.org                                                                             | ✓ | ⏱: 1.59s 
[SCRAPE].. ◆ https://mg.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mg.wikipedia.org                                                                             | ✓ | ⏱: 1.59s
[FETCH]... ↓ https://mai.wikipedia.org                                                                            | ✓ | ⏱: 1.63s
[SCRAPE].. ◆ https://mai.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mai.wikipedia.org                                                                            | ✓ | ⏱: 1.64s
[FETCH]... ↓ https://mi.wikipedia.org                                                                             | ✓ | ⏱: 1.51s 
[SCRAPE].. ◆ https://mi.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mi.wikipedia.org                                                                             | ✓ | ⏱: 1.52s
[FETCH]... ↓ https://map-bms.wikipedia.org                                                                        | ✓ | ⏱: 1.76s 
[SCRAPE].. ◆ https://map-bms.wikipedia.org                                                                        | ✓ | ⏱: 0.00s
[COMPLETE] ● https://map-bms.wikipedia.org                                                                        | ✓ | ⏱: 1.76s
[FETCH]... ↓ https://mhr.wikipedia.org                                                                            | ✓ | ⏱: 1.69s 
[SCRAPE].. ◆ https://mhr.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mhr.wikipedia.org                                                                            | ✓ | ⏱: 1.69s
[FETCH]... ↓ https://mdf.wikipedia.org                                                                            | ✓ | ⏱: 1.84s 
[SCRAPE].. ◆ https://mdf.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://mdf.wikipedia.org                                                                            | ✓ | ⏱: 1.84s
[FETCH]... ↓ https://min.wikipedia.org                                                                            | ✓ | ⏱: 1.70s 
[SCRAPE].. ◆ https://min.wikipedia.org                                                                            | ✓ | ⏱: 0.00s 
[COMPLETE] ● https://min.wikipedia.org                                                                            | ✓ | ⏱: 1.70s
[FETCH]... ↓ https://mk.wikipedia.org                                                                             | ✓ | ⏱: 1.70s 
[SCRAPE].. ◆ https://mk.wikipedia.org                                                                             | ✓ | ⏱: 0.00s 
